





















































































284,-2120,-1884
648,-3228,-2100
1108,-3694,-2470
1932,-2625,-2799
3282,146,-2373
3458,3719,-1955
4558,9995,-1676
5855,19034,-177
5790,29889,2161
4620,32767,6139
4451,32767,9988
5800,32767,10144
5172,28540,5849
4727,20471,4937
4325,14452,5441
3172,8322,4147
1641,1628,2496
629,-3602,1861
-95,-9556,1050
-1025,-15460,-302
-1857,-19195,69
-2792,-21838,314
-3592,-22819,558
-3483,-21075,1886
-3753,-19319,2714
-4120,-16473,1796
-4154,-13985,1439
-4209,-11974,414
-4915,-9626,-826
-5256,-5463,-1836
-5592,-756,-3497
-5924,1858,-4511
-7594,1322,-4439
-9633,1936,-4000
-12923,2843,-2318
-13490,6485,42
-10668,8854,3850
-5686,4210,-1667
-3144,-2706,-4531
-2539,-5604,-5204
-1830,-4552,-4611
-80,-1971,-3470
1408,552,-3341
1897,442,-2748
2381,-435,-1825
2399,-1584,-684
2524,-2510,-781
2411,-2797,-1206
2639,-1879,-1251
2721,-3115,-1421
2814,-6641,-2062
3175,-9217,-2437
3765,-10330,-4037
3999,-10961,-4474
4004,-11058,-5618
5396,-4273,-2290
3844,-3322,-2150
2884,-2776,-2034
1765,-2040,-1565










-1443,-1999,807
-1682,-2638,637
-1854,-2796,173
-2059,-3052,-339
-2083,-3193,-520
-1968,-3599,-688
-1759,-4217,-734
-1173,-5793,-2405
611,-7901,-3007
2111,-9578,-4105
93,-11948,-7675
2332,-3031,-2917
2330,4643,-1806
2350,10788,-757
3746,14381,758
4044,14618,2351
3151,15249,2979
3505,14566,3544
3356,13549,4003
2727,13845,5562
952,14376,6902
-1793,11931,8041
-1691,9616,8972
-2884,7191,8230
-2964,3980,9121
-3343,517,9118
-3314,-1316,6841
-2807,-2478,5359
-2016,-3698,4163
-832,-2648,3413
-138,-1835,2719
140,-2896,1177
182,-4727,-86
101,-4977,-659
-60,-3780,-709




-1769,626,-699
-2132,102,-1042
-1905,-988,-1365
-2689,-3503,-2622
-3341,-5890,-3823
-3943,-6016,-4643
-6024,-6949,-5133
-10797,-9315,-7480
-19924,-12684,-7951
-18975,-9900,228
-12546,4984,2729
-10803,15383,298
-8991,8745,-2552
-7469,-8821,-1614
-3577,-7873,-1392
-1315,-1084,-2849
970,2537,-4332
3036,4457,-3949
5331,7583,-2633
5652,8485,-2727
5326,5282,-2600
