





































































































































404,1783,652
449,2700,684
933,3630,494
2164,6601,969
2782,8443,2568
2954,8538,2495
2183,5633,1197
2650,5668,21
572,2089,-47
1587,2281,946
2409,4185,2479
4522,5077,5794
5568,6570,6920
3266,4231,8162
2435,1211,7405
1603,-2454,6486
1149,-3166,5152
988,-2620,5503
568,-1453,5882
226,-887,5992
170,-284,4845
-2,63,4613
-241,729,4170
-292,1225,3756
-696,1729,3094
-825,1284,2152

-1839,-2301,-2487
-2022,-5282,-6094
-2088,-7528,-8374
-2803,-9182,-9780
-3170,-11538,-11364
-3392,-14753,-13697
-3356,-17257,-13495
-4875,-19579,-12734
-5985,-15932,-10665
-6489,-9834,-6410
-5630,-6416,1346
-8704,-3356,6362
-9219,-564,7829
-8468,-1902,6085
-5865,-3940,1419
-3856,-2848,-1506
-3029,-2146,-2737
-2861,-701,-917
-2169,988,241
-1587,2397,733
-1155,3872,44
-728,4381,-480
-591,4150,-870
-465,3893,-1607
-7,4656,-1949
234,8071,1103
466,7050,255
1200,6150,-692
1737,5320,-1233
2207,4342,-1389
1957,3771,-1387
1878,2940,-1002
1503,2665,-828
786,2122,-866
59,1617,-1437
-428,1393,-1801









375,985,-1584
1476,2098,-554
3169,6036,2965
4750,11721,7100
6305,14172,9471
5460,12545,7833
5686,9716,5382
4073,5768,2866
2953,2926,56
2453,2332,-785
2432,3653,1741
2153,4420,4155
909,3903,6359
78,2614,6934
-126,1550,5916
186,1641,6628
525,2059,5982
805,2361,5760
1061,2781,4901
1119,2459,4275
1324,2583,3066
1580,3166,1825
1203,2772,-308
864,1651,-2224
628,1207,-3804
477,941,-4285
119,256,-5034
-535,-1606,-5918
-936,-3793,-8154
-1164,-7006,-11067
-1444,-10734,-13701
-1514,-14628,-14910
-2291,-15030,-11116
-3886,-15377,-9490
-5599,-10768,-3038
-7721,-6363,2719
-9038,-1205,5909
-9670,-652,5906
-7040,-4260,2397
-4304,-5873,-205
-2111,-5111,-1977
-1399,-2584,-1985
-1357,-608,-1976
-1115,1332,-1684
-610,2815,-1243
-239,3829,-423
-64,3636,-493
125,3432,-1044
-20,1924,-1194
880,4997,-195
-58,4363,-274
58,3113,-803
447,1936,-1412
708,1193,-1862
460,1146,-2134
327,1219,-2269
210,1182,-1744


























-728,-1684,-253


2304,587,-1501
3633,6349,732
4715,13687,6697
5240,17066,8971
4366,13222,7542
5482,13368,8096
5420,11210,6697
4486,8549,5953
3511,7195,3877
2345,5054,2941
827,2309,1940
-621,-1193,3454
-1061,-1559,4313
-1725,-1577,6183
-2043,-1549,6009
-1885,-1755,5365
-1584,-1671,4965
-885,-807,4772
-394,356,5441
-156,1077,5077
48,1313,4089
300,1099,2885




10,-2286,-2756
-430,-4203,-5837
-316,-7131,-9148
-618,-9911,-11723
-1432,-12989,-13585
-1715,-16636,-14382
-2656,-20382,-14917
