












































































































2270,-1199,-43
3225,-2071,-195
3847,-2877,-420
3643,-2102,409
5366,-2554,-1516
5891,482,-556
4826,1017,901
4031,-830,-23
3007,-428,-567
3430,-36,-941
3566,2996,1244
3530,2601,257
3440,3960,1095
3411,4753,1562
3027,2782,1090
1682,2580,1616
908,2864,2099
146,1753,2992
446,1533,3412
530,1331,3616
837,577,3837
1416,-175,3969
1705,-237,3399
1484,41,3184
1104,289,3114
390,672,3414
293,391,3355
225,493,2926
775,1192,1663
1135,1655,1835
893,1982,2257
230,2074,2292
-254,1844,2083
-402,2001,1692
-181,2256,1229
116,2430,1092
209,2456,1276
587,2325,1499
863,1693,1702
1003,965,1699

750,2230,1591
1379,2655,1004
1440,2693,367

-179,-988,-1529
-1391,-3339,-2095
-2324,-4201,-2941
-2902,-4387,-3416
-3925,-4490,-3695
-5550,-4499,-3926
-6488,-4272,-3822
-6217,-4222,-5276
-6193,-2066,-4625
-5491,-1356,-4550
-5736,-100,-3630
-6534,2378,-2395
-6873,5266,-1775
-7304,7530,-973
-7218,8687,210
-6410,7551,796
-5636,3551,479
-4799,-1013,591
-3740,-3532,-555
-2761,-3918,-1380
-1950,-2529,-1778
-1306,-1482,-1848
-735,-1499,-1514
-357,-2520,-948
97,-2925,-370
368,-2662,-591
628,-2191,-906
783,-1821,-1397
1189,-1849,-1689
1232,-1993,-1598
1341,-2133,-1559
1563,-1903,-1644
1468,-1972,-1341
1714,-2174,-996
1801,-1987,-833
1833,-1484,-917





















1437,1960,937
1403,1966,1252
1633,1739,1329
1748,1679,1335
2045,1280,1124
2132,1123,778
2122,1507,378
2380,1844,-282
2545,2050,-474
2794,2453,-539
2885,2616,-103
2310,2421,560
1774,2112,1260
525,2065,1721
109,1929,2068
-71,1126,2543
-450,-371,2935
411,-505,2784
520,-171,2742
80,217,2706
147,241,2734
190,263,2587
285,269,2396
373,863,1812
778,1038,2032
935,1009,2240
1482,979,2567
1735,985,2393
1275,1067,2621
1261,979,2438
240,1009,2217
-353,1125,1837


-737,1538,377
-486,1803,344
-259,1524,732











-1001,-2132,-2169
-1545,-2624,-3018
-2068,-2936,-3519
-2616,-3155,-3654
-3522,-3648,-3501
-4249,-4690,-3337
-4848,-5547,-3081
-4429,-6801,-4050
-5235,-5247,-3270
-6328,-4508,-3219
-8055,-2380,-3082
-10930,3364,-2835
-11785,13794,348
-7850,18472,43
-5825,15276,-165
-5022,3746,1084
-3529,-7281,2792
-1950,-10726,2806
-1705,-8974,305
-1111,-5833,-2383
-668,-3948,-2989
-1187,-260,-2603
-533,328,-1762





883,-913,-1501
555,-1269,-1510
542,-1784,-1341
722,-1753,-1308
1083,-1827,-1308
708,-1892,-730
781,-1709,-494
1852,-1915,-735

































1645,23,-80
1325,-2148,1675
216,-2083,1591
-206,-1701,1012

1422,-1619,-934
1792,-1458,-1123
2357,-629,-1446
2224,-184,-973
1850,-216,-642
1600,-289,-545
2383,-592,-769
2640,-474,-1291
2625,30,-888
1751,191,124




-184,-429,1518
-256,-494,1921
-383,-898,2374
-682,-1437,2386
-634,-1700,1870
-236,-2183,1376
-28,-2593,1049
302,-2917,530
565,-2782,559
531,-2500,670
1017,-2830,710
834,-2270,433
1133,-1724,-23
1598,-1320,-87
1603,-990,6
1790,-891,480
1696,-773,1026
1838,-781,1213
1653,-644,1163







621,2010,63

84,1744,-531





-2020,-710,-1502
-3243,-1469,-2235
-3870,-1653,-2742
-3935,-1511,-2767
-4267,-1305,-2361
-5055,-1088,-1817
-5398,-1113,-1700
-5571,-534,-2310
-4963,408,-2440
-4923,980,-1485
-6273,2415,372
-7110,5823,1429
-7482,10438,2422
-6137,11308,2245
-5264,6656,1825
-3825,860,1584
-2346,-3632,1320
-1399,-5118,613
-636,-4303,-290
-425,-3396,-757
-328,-2433,-979








1096,-1653,-1647
728,-1872,-1246
555,-1953,-948
453,-1816,-840
418,-1704,-876
495,-1658,-873
736,-1777,-707
891,-1895,-269
1120,-1764,22
1679,-1511,101
2088,-1340,145
2158,-1593,206
2038,-1639,81
1899,-1344,-249
1801,-674,-517
1727,-553,-613
2000,-547,-622
2350,-374,-570
1865,-67,-238
1795,90,326




931,1718,351
1052,1998,138
1422,2025,114
1843,2245,409
2212,2228,593
2118,2011,768
2057,1662,681
1592,993,827


1746,1132,213


787,1514,1233


432,1024,1592
427,1185,1878
455,1205,1848
350,1201,2004
341,923,2013
1173,-1524,3702
1057,-479,2301
1808,357,1999
2071,837,2167
2288,793,2668
1262,888,2960
704,203,3330
-414,1522,2438
-498,1496,1689
-251,1688,729
-273,2103,669

-1082,1707,1305




-553,648,1555
-244,471,1906
-191,316,2181
-97,170,2120
98,95,2020








322,-1923,-1553
-651,-2708,-2576
-1960,-3259,-3717
-3179,-3712,-4708
-4085,-4178,-5463
-4647,-4649,-5824
-4393,-5406,-5682
-4716,-5998,-5484
-4615,-6304,-4897
-4986,-6311,-3917
-5460,-5709,-3719
-5528,-5304,-3867
-5376,-4142,-3274
-5502,-2959,-2604
-6114,-400,-1774
-5940,3192,-1358
-5701,4998,-988
-5081,5340,-845
-3771,963,-99
-2902,-3091,-112
-1978,-4899,282
-1946,-6009,-1066
-1831,-5769,-1933
-1767,-4872,-3204
-1285,-4098,-3821
-946,-2966,-4147
-367,-2426,-3688
25,-2492,-3635
728,-2343,-2664
990,-2347,-2427
1013,-1804,-1546
720,-1570,-2341
418,-786,-2361
304,178,-2007




402,1798,1008
400,2251,1944
297,2260,2671
55,1684,3009
29,1366,2865
-76,1271,2475
-41,1117,2112
227,1017,1526


2223,674,132
2612,1287,535
2968,2100,936
3133,1969,1101
3460,1531,1110
3207,2738,2856
3889,3053,2232
4785,3010,1646
5619,3121,1437
6044,2687,2004
5714,1460,2204
4837,1052,2998
4841,1675,3370
4138,2316,3112
4360,2726,3517
4267,2743,3854
3872,2487,3953
