
























































-159,1539,314
-226,1852,386
-333,1917,588






























































































-241,1615,791
-138,2197,1107
108,2872,1488
239,3610,1747
471,4456,2120
796,4842,2059
1217,4961,2094
1642,4873,1922
1799,4144,1521
1543,3043,1360
1236,1959,1298


1727,1311,695
1866,1605,475
1729,2278,289
1951,3352,392
1833,4015,322
2329,4721,-28
2762,4726,111
2484,5681,-388
3078,5962,-34
2944,5438,46
2518,5230,181
2482,5501,-62
2375,5225,-444
1969,4917,-401
1798,4386,-384
1202,4569,-106
644,4598,-163
206,4435,203
99,4305,1176
73,3671,1930
-240,4128,3427
-851,4665,4211
-809,4956,4160
-523,5319,4531
-534,4605,3754
-534,3654,3299
-657,2527,2195
-653,1376,1663

-1522,-2074,-143
-2526,-5172,-2375
-3540,-8981,-4891
-5261,-10711,-5295
-6314,-8880,-4166
-8830,-6350,-1887
-12330,-5266,212
-11200,-5934,231
-8145,-5762,-34
-5380,-7853,-2169
-3936,-7117,-3000
-2328,-3855,-2412
-2304,-772,-1879
-1602,203,-2459
-1210,880,-2337
-260,1841,-1386
-331,2114,-767



-82,-931,-1501
173,-1223,-1770
130,-1622,-2050
290,-2145,-2168
88,-2309,-2360
-358,-2580,-2476


-174,1692,-328














































603,3065,1954
1353,5468,2647
2087,6941,3395
2160,7486,3431
2219,6883,3285
2132,6119,2733
1836,5218,1902
2009,5097,1134
2022,4250,997
2095,3733,611
2055,2592,655
1958,1978,772
2050,1182,556
2017,702,385
2214,1158,573
2374,1683,639
2198,2538,999
2117,3028,1086
2269,3215,953
2230,3703,616
2291,4514,743
2347,5017,1102
1789,5549,1703
1402,5220,2248
694,5373,2183
508,5741,2347
347,5746,3104
190,5601,3664
-51,5276,3754
-91,5515,3772
-78,4986,3147
495,4556,3300
862,4006,3863
646,3180,4099
579,2354,3878
893,2295,4179
1253,2701,4361
1349,2490,4169
1414,2104,3485
1217,1327,2218

439,-2839,-2084
-494,-7024,-5055
-1687,-11742,-8997
-3225,-16636,-12567
-5057,-25013,-16017
-3909,-32768,-24485
-6315,-17689,-12058
-9997,-4620,-5034
